study,or,lower,upper
"Miliku et al., 2016",1.8408969391589496,1.23957621046723,2.7339194734363446
"Gernand et al., 2014 (50–74 vs <30)",2.025290580286743,1.4574043900719833,2.814456963722758
"Gernand et al., 2014 (≥75 vs <30)",1.9001310914631895,1.3879862397445517,2.6012492497112767
"Beck et al., 2025",1.9964045208035717,1.493684520275522,2.6683218287284367
Overall,1.9499259320000961,1.4703638803536687,2.585898083521946
