Analysis,k,N,OR,CI_95,I2_pct,p_het,Model
SGA/FGR (primary),4,9033,1.95,1.47–2.59,0.0,0.853,Fixed
Biometry/EFW (secondary),4,26542,1.16,1.09–1.23,32.6,0.217,Fixed
